lossFunc,nom1,nom2,n01,n10,alpha,numEpochs,delta
l2,base,cluster,0,0,1,10000,1
l2,base,cluster,0,0,1,10000,11
l2,base,cluster,0,0,1,10000,21
l2,base,cluster,0,0,1,10000,31
l2,base,cluster,0,0,1,10000,41
l2,base,cluster,0,0,1,10000,51
l2,base,cluster,0,0,1,10000,61
l2,base,cluster,0,0,1,10000,71
l2,base,cluster,0,0,1,10000,81
l2,base,cluster,0,0,1,10000,91
l2,base,cluster,0,0,1,10000,101
l2,base,cluster,20,12,0.1,10000,1
l2,base,cluster,19,10,0.1,10000,11
l2,base,cluster,0,0,0.1,10000,21
l2,base,cluster,0,0,0.1,10000,31
l2,base,cluster,0,0,0.1,10000,41
l2,base,cluster,0,0,0.1,10000,51
l2,base,cluster,0,0,0.1,10000,61
l2,base,cluster,0,0,0.1,10000,71
l2,base,cluster,0,0,0.1,10000,81
l2,base,cluster,0,0,0.1,10000,91
l2,base,cluster,0,0,0.1,10000,101
l2,base,cluster,15,10,0.01,10000,1
l2,base,cluster,15,9,0.01,10000,11
l2,base,cluster,39,21,0.01,10000,21
l2,base,cluster,0,0,0.01,10000,31
l2,base,cluster,0,0,0.01,10000,41
l2,base,cluster,0,0,0.01,10000,51
l2,base,cluster,0,0,0.01,10000,61
l2,base,cluster,0,0,0.01,10000,71
l2,base,cluster,0,0,0.01,10000,81
l2,base,cluster,0,0,0.01,10000,91
l2,base,cluster,0,0,0.01,10000,101
l2,base,cluster,13,11,0.001,10000,1
l2,base,cluster,13,11,0.001,10000,11
l2,base,cluster,19,14,0.001,10000,21
l2,base,cluster,1,3,0.001,10000,31
l2,base,cluster,1,3,0.001,10000,41
l2,base,cluster,1,3,0.001,10000,51
l2,base,cluster,1,3,0.001,10000,61
l2,base,cluster,1,3,0.001,10000,71
l2,base,cluster,1,3,0.001,10000,81
l2,base,cluster,1,3,0.001,10000,91
l2,base,cluster,1,3,0.001,10000,101
l2,base,cluster,12,12,0.0001,10000,1
l2,base,cluster,13,10,0.0001,10000,11
l2,base,cluster,17,13,0.0001,10000,21
l2,base,cluster,1,3,0.0001,10000,31
l2,base,cluster,1,3,0.0001,10000,41
l2,base,cluster,1,3,0.0001,10000,51
l2,base,cluster,1,3,0.0001,10000,61
l2,base,cluster,1,3,0.0001,10000,71
l2,base,cluster,1,3,0.0001,10000,81
l2,base,cluster,1,3,0.0001,10000,91
l2,base,cluster,1,3,0.0001,10000,101
l2,base,cluster,8,14,0.00001,10000,1
l2,base,cluster,8,15,0.00001,10000,11
l2,base,cluster,11,17,0.00001,10000,21
l2,base,cluster,18,21,0.00001,10000,31
l2,base,cluster,18,21,0.00001,10000,41
l2,base,cluster,18,21,0.00001,10000,51
l2,base,cluster,18,21,0.00001,10000,61
l2,base,cluster,18,21,0.00001,10000,71
l2,base,cluster,18,21,0.00001,10000,81
l2,base,cluster,18,21,0.00001,10000,91
l2,base,cluster,18,21,0.00001,10000,101
l2,base,cluster,16,9,0.01,10000,10
l2,base,cluster,18,12,0.01,10000,20
l2,base,cluster,0,0,0.01,10000,30
l2,base,cluster,0,0,0.01,10000,40
l2,base,cluster,13,11,0.001,10000,10
l2,base,cluster,17,15,0.001,10000,20
l2,base,cluster,1,3,0.001,10000,30
l2,base,cluster,1,3,0.001,10000,40
l2,base,cluster,13,10,0.0001,10000,10
l2,base,cluster,17,13,0.0001,10000,20
l2,base,cluster,1,3,0.0001,10000,30
l2,base,cluster,1,3,0.0001,10000,40
l2,base,cluster,8,14,0.00001,10000,10
l2,base,cluster,11,17,0.00001,10000,20
l2,base,cluster,16,22,0.00001,10000,30
l2,base,cluster,18,21,0.00001,10000,40
l2,base,cluster,0,0,1.0,10000,10.0
l2,base,cluster,0,0,1.0,20000,10.0
l2,base,cluster,0,0,1.0,30000,10.0
l2,base,cluster,0,0,1.0,40000,10.0
l2,base,cluster,0,0,1.0,50000,10.0
l2,base,cluster,0,0,1.0,60000,10.0
