lossFunc,nom1,nom2,success1,success2,alpha,numEpochs,delta
l2,base,cluster,0.582677,0.582677,1,10000,1
l2,base,cluster,0.582677,0.582677,1,10000,11
l2,base,cluster,0.582677,0.582677,1,10000,21
l2,base,cluster,0.582677,0.582677,1,10000,31
l2,base,cluster,0.582677,0.582677,1,10000,41
l2,base,cluster,0.582677,0.582677,1,10000,51
l2,base,cluster,0.582677,0.582677,1,10000,61
l2,base,cluster,0.582677,0.582677,1,10000,71
l2,base,cluster,0.582677,0.582677,1,10000,81
l2,base,cluster,0.582677,0.582677,1,10000,91
l2,base,cluster,0.582677,0.582677,1,10000,101
l2,base,cluster,0.582677,0.519685,0.1,10000,1
l2,base,cluster,0.582677,0.511811,0.1,10000,11
l2,base,cluster,0.582677,0.582677,0.1,10000,21
l2,base,cluster,0.582677,0.582677,0.1,10000,31
l2,base,cluster,0.582677,0.582677,0.1,10000,41
l2,base,cluster,0.582677,0.582677,0.1,10000,51
l2,base,cluster,0.582677,0.582677,0.1,10000,61
l2,base,cluster,0.582677,0.582677,0.1,10000,71
l2,base,cluster,0.582677,0.582677,0.1,10000,81
l2,base,cluster,0.582677,0.582677,0.1,10000,91
l2,base,cluster,0.582677,0.582677,0.1,10000,101
l2,base,cluster,0.582677,0.543307,0.01,10000,1
l2,base,cluster,0.582677,0.535433,0.01,10000,11
l2,base,cluster,0.582677,0.440945,0.01,10000,21
l2,base,cluster,0.582677,0.582677,0.01,10000,31
l2,base,cluster,0.582677,0.582677,0.01,10000,41
l2,base,cluster,0.582677,0.582677,0.01,10000,51
l2,base,cluster,0.582677,0.582677,0.01,10000,61
l2,base,cluster,0.582677,0.582677,0.01,10000,71
l2,base,cluster,0.582677,0.582677,0.01,10000,81
l2,base,cluster,0.582677,0.582677,0.01,10000,91
l2,base,cluster,0.582677,0.582677,0.01,10000,101
l2,base,cluster,0.566929,0.551181,0.001,10000,1
l2,base,cluster,0.566929,0.551181,0.001,10000,11
l2,base,cluster,0.566929,0.527559,0.001,10000,21
l2,base,cluster,0.566929,0.582677,0.001,10000,31
l2,base,cluster,0.566929,0.582677,0.001,10000,41
l2,base,cluster,0.566929,0.582677,0.001,10000,51
l2,base,cluster,0.566929,0.582677,0.001,10000,61
l2,base,cluster,0.566929,0.582677,0.001,10000,71
l2,base,cluster,0.566929,0.582677,0.001,10000,81
l2,base,cluster,0.566929,0.582677,0.001,10000,91
l2,base,cluster,0.566929,0.582677,0.001,10000,101
l2,base,cluster,0.566929,0.566929,0.0001,10000,1
l2,base,cluster,0.566929,0.543307,0.0001,10000,11
l2,base,cluster,0.566929,0.535433,0.0001,10000,21
l2,base,cluster,0.566929,0.582677,0.0001,10000,31
l2,base,cluster,0.566929,0.582677,0.0001,10000,41
l2,base,cluster,0.566929,0.582677,0.0001,10000,51
l2,base,cluster,0.566929,0.582677,0.0001,10000,61
l2,base,cluster,0.566929,0.582677,0.0001,10000,71
l2,base,cluster,0.566929,0.582677,0.0001,10000,81
l2,base,cluster,0.566929,0.582677,0.0001,10000,91
l2,base,cluster,0.566929,0.582677,0.0001,10000,101
l2,base,cluster,0.535433,0.582677,0.00001,10000,1
l2,base,cluster,0.535433,0.590551,0.00001,10000,11
l2,base,cluster,0.535433,0.582677,0.00001,10000,21
l2,base,cluster,0.535433,0.559055,0.00001,10000,31
l2,base,cluster,0.535433,0.559055,0.00001,10000,41
l2,base,cluster,0.535433,0.559055,0.00001,10000,51
l2,base,cluster,0.535433,0.559055,0.00001,10000,61
l2,base,cluster,0.535433,0.559055,0.00001,10000,71
l2,base,cluster,0.535433,0.559055,0.00001,10000,81
l2,base,cluster,0.535433,0.559055,0.00001,10000,91
l2,base,cluster,0.535433,0.559055,0.00001,10000,101
l2,base,cluster,0.582677,0.527559,0.01,10000,10
l2,base,cluster,0.582677,0.535433,0.01,10000,20
l2,base,cluster,0.582677,0.582677,0.01,10000,30
l2,base,cluster,0.582677,0.582677,0.01,10000,40
l2,base,cluster,0.566929,0.551181,0.001,10000,10
l2,base,cluster,0.566929,0.551181,0.001,10000,20
l2,base,cluster,0.566929,0.582677,0.001,10000,30
l2,base,cluster,0.566929,0.582677,0.001,10000,40
l2,base,cluster,0.566929,0.543307,0.0001,10000,10
l2,base,cluster,0.566929,0.535433,0.0001,10000,20
l2,base,cluster,0.566929,0.582677,0.0001,10000,30
l2,base,cluster,0.566929,0.582677,0.0001,10000,40
l2,base,cluster,0.535433,0.582677,0.00001,10000,10
l2,base,cluster,0.535433,0.582677,0.00001,10000,20
l2,base,cluster,0.535433,0.582677,0.00001,10000,30
l2,base,cluster,0.535433,0.559055,0.00001,10000,40
l2,base,cluster,0.582677,0.582677,1.0,10000,10.0
l2,base,cluster,0.582677,0.582677,1.0,20000,10.0
l2,base,cluster,0.582677,0.582677,1.0,30000,10.0
l2,base,cluster,0.582677,0.582677,1.0,40000,10.0
l2,base,cluster,0.582677,0.582677,1.0,50000,10.0
l2,base,cluster,0.582677,0.582677,1.0,60000,10.0
