lossFunc,nom1,nom2,n01,n10,alpha,numEpochs,delta
l2,base,cluster,0,0,1.0,500,0.01
l2,base,cluster,0,0,1.0,500,0.1
l2,base,cluster,0,0,1.0,500,1.0
l2,base,cluster,0,0,1.0,500,10.0
l2,base,cluster,0,0,1.0,500,100.0
l2,base,cluster,0,1,0.1,500,0.01
l2,base,cluster,0,1,0.1,500,0.1
l2,base,cluster,0,1,0.1,500,1.0
l2,base,cluster,0,1,0.1,500,10.0
l2,base,cluster,0,0,0.1,500,100.0
l2,base,cluster,0,2,0.01,500,0.01
l2,base,cluster,0,2,0.01,500,0.1
l2,base,cluster,0,2,0.01,500,1.0
l2,base,cluster,0,2,0.01,500,10.0
l2,base,cluster,0,1,0.01,500,100.0
l2,base,cluster,0,4,0.001,500,0.01
l2,base,cluster,0,4,0.001,500,0.1
l2,base,cluster,0,4,0.001,500,1.0
l2,base,cluster,0,4,0.001,500,10.0
l2,base,cluster,0,3,0.001,500,100.0
l2,base,cluster,1,1,0.0001,500,0.01
l2,base,cluster,1,1,0.0001,500,0.1
l2,base,cluster,1,1,0.0001,500,1.0
