,Unnamed: 0,id_review,date,product_id,user_rating,date_other_format,user_id,title,review
5482,2309,2362,20101103,B002HWS9GG,5,"November 3, 2010",AZEYAWZKRDILU,Best of the best!!,Having been diagnosed with p}riodontic problems I bought this electric toothbrush and within 6 weeks after a good deep cleaning at the dentist my gums were �ack tight against my teeth and looking completely pink again instead of flaming red. With flossing and this brush I intend to m�ke this a daily habit for the rest of my life.  It is a godsend!!
3705,532,544,20091031,B0002KHU3I,5,"October 31, 2009",AVZLUCINLWYIZ,fantastic product; well worth the investment,this is the 2nd oral B I have had.  the other one is still running after two years.  the brush lasted for 18 monthes.  I am tough on regular tooth brushes and usually would have to change every two weeks.  This is such a great & durable product.
3644,471,480,20100615,B0002KHTG6,5,"June 15, 2010",A2NRK0Y232C4MI,Excellent Cleaning,"This type of Oral-B brush was available at most retail outlets, but became difficult to find.  Thanks to Amazon, they are available easily online.  The center polishing portion of the brush is fantastic for giving your teeth that slippery smooth feel of \'real clean.\'  I recommend these as your main brush or as a suppliment to the other brushes used with most of the Oral-B handles."
1173,753,778,20080307,B000BUW8WM,5,"March 7, 2008",A3CMZPD3CIJO15,Works fantastic for me!,"Expensive electric razors, no matter how fancy they are, always make my neck look like sausage pizza when I\'m done.  Manual razors, especially disposable ones, are more effective for me, but with my skin as sensitive as it is, I\'m usually decorating my face with little bits of tissue when I\'m through.With this razor, I get the best of all worlds.  With 5 blades, it\'s hard to miss a spot, and it takes less time overall to get the job done.  The vibrating gives it an extra \'kick\' and makes the shave more effective.  The best part is that there is virtually no sign of irritation.For those who are having trouble using this razor against 2- or 3-day-old beards, just be patient and let the razor (and its vibrations) do the work.  Pull your skin so the part you\'re shaving is good and tight and the stubble is separated as much as possible.This razor gives me, by far, the closest shave ever, and with no irritation.    "
2069,1649,1702,20110409,B001JQLNH8,4,"April 9, 2011",A3JV41WP2W5628,"great shave, but not under my nose","The Gillette Mach3 Disposable, Sensitive, is in mont ways, the best razor I\'ve found.  The comfort and overall maneuverability of the design are wonderful.  I am able to easily get a great, close shaving angle on my cheeks, neck, and chin, plus the blades are consistently sharp and smooth.  I can count on this razor to give me a close, comfortable shave without great effort or the need to shave some areas several times to catch what escaped the first, second, third passes with the razor.The only issue I have with this razor involves difficulties shaving right under my nose.  I can\'t seem to make the razor catch those whiskers without the scary prospect of inserting part of the razor head into my nostrils.Still, this is the best I\'ve found.    "
1912,1492,1542,20110601,B001G7PMW2,4,"June 1, 2011",ARC0QI29CWD0W,Solid razors for a great value,"I\'ve tried a variety of Gillette razors over the last decade or so and the Sensor Excel remains my favorite. Though it neither possesses zillions of blades nor vibrates, it shaves closer than razors that do. Cartridges for it are also slightly cheaper than those for the Mach 3 or other high-end razors.These 5-count packages (bundled in packs of 2) are also a phenomenally good deal, especially if you purchase them using Amazon\'s subscribe-and-save. My only complaint is that, in these bundles, the blue lubricating strip normally at the top of the razor has been replaced by a white and noticeably less lubricating version. Still, this is a good buy.    "
1528,1108,1138,20110316,B000XVTYYY,5,"March 16, 2011",A397C708ZIN8XS,close shave,"Have not cut myself. If you add in the shipping to get the blades,the local CVS is just about as cheap.    "
6557,321,329,20100611,B004IS92L8,4,"June 11, 2010",A3N9TOPHBENB9I,"Finally, a conditioner that works for very fine hair","I have very fine, dry hair.  I have tried many conditioners over the years, and have found most of them leave a heavy residue on my hair that weighs it down.  Other conditioners seemingly did nothing, leaving it dry, fly-away and badly in need of styling product.  This one seems to have found that happy balance between heavy and light.Right now I am giving this product four stars, as I do not know how well it will perform over a period of several months.  Will a residue built up on my hair?  I just don\'t know yet.  Indications are positive, however.Pantene has a reputation for good products, so I am very hopeful that I have found a product that will serve me well for the long run.Update:  October 2010I am still loving this product. "
4970,1797,1842,20100911,B002BTETG4,5,"September 11, 2010",A2AKWS4AVVXFQF,A perfect purchase,"I searched high and low for the replacement heads for my Oral B and because I persevered through a dozen possibilities on Amazon and elsewhere on the net, I got the exact ones needed for my Vitality toothbrush without having to endure the tales of trevail that I read about in the reviews."
826,406,416,20090607,B000277P5E,5,"June 7, 2009",A3P95ZJREMSVJU,good,exactly as promised. No complaints. Good quality. Not sure why there are some bad reviews listed but this is exactly same to the same i get in costco. I even did a comparision.    
