,id_review,date,product_id,user_rating,date_other_format,user_id,title,review
58,58,20110929,B001LK6XG8,5,"September 29, 2011",A1GCOURMTPXKWI,Perfect liner,"I like these so much, that I am signed up for regular delivery.  They are definitely much larger (width and length) than any liners I have ever used, and they are very absorbent, so you continue to feel fresh.  I hope they never stop making them."
48,48,20110208,B001LK6QJW,5,"February 8, 2011",A2IEK7OUWM4NJQ,Always Pantliner Thin (Unscented),"Hi,These are tiny and barely noticeable. I love them. What I do for my light days is overlap them to make a wide, yet very thin pantiliner. Works like a charm! And it will not leak if you stretch you panties flat while overlapping them. I promise they are not a waste and they will save your panties! I love them b/c I can\'t feel them at all, even with 2 overlapping!And only buy the unscented- the scented one smells like you are on your period! I have been using this for over a year and never had a leaking issue!"
242,243,20100212,B0029NYQME,5,"February 12, 2010",A2O421DTA8J0RW,Lower price than the local stores,"This is a nice offering from Amazon. It\'s four packages each with 22 pads each. Doing the math in comparison to my local stores, buying these from Amazon with the free shipping is a whole lot cheaper."
398,402,20090614,B005P0SMW8,5,"June 14, 2009",A2QXMEWCYVS50W,A must have!,"This is a product it would do everyone well to have as a staple in their homes.  It offers instant relief from stomach discomfort yet tastes like good spring water.  I prefer it chilled and keep some always ready in my fridge.  It also works as a topical for cuts or irritations.Our first experience with the product was after radiation burns when my husband was in treatment.  As the saliva glands had been destroyed and he needed to cary a water bottle all the time, we were told about George\'s Aloe Vera (none other will work as well). This became his saving grace.There are many many uses, it\'s pure and has taken awards for its excellence.  I try not to be without it and have ordered it for friends and family, especially those who have been ill.Ordering via Amazon.com has always been the best way to get the product as it is not available locally.  Every vendor has been exceptional in getting it to me."
327,330,20111128,B004J36GES,5,"November 28, 2011",A6VSWJVTWEOII,Comfortable and reliable,"I got these for Amazon Vine and was a little worried I wouldn\'t have much to say in a review, but I was pleasantly surprised by how nice this product is. I was a little afraid that the \'odor lock\' stuff would be irritating or obtrusive but I did not find it to be such at all. I found these to be a good length and thickness and not prone to leaks. And with the Subscribe and Save option it\'s a good buy considering it\'s a brand name product. I will purchase these again."
263,265,20110308,B003CP1590,5,"March 8, 2011",A5ACW17Z4GCHC,Great Price...,"I don\'t usually purchase feminine products online, but I couldn\'t beat the price on these.  I don\'t usually use the Long Super variety of Always, but since the birth of my third baby my cycle has been a bit out of control.  These are great because they provide ultimate coverage and absorbancy!!!"
165,165,20111206,B0029NYQ6A,1,"December 6, 2011",A2K0L85Q2GQCF,Not absorbant enough!!!,"Not absorbant for that menstrual bleeding!  Last week, my neighbor had like gallons of that shuff coming out of her.  All the damn Maxi pads in the world wouldn\'t clean that mess up!  I tried to lure a deer into the house to lick it all up, since deer eat nasty stuff, but the deer couldn\'t even clean up all that menstral blood!  So I had to shoot the deer, which left even more blood, deer brain splatter, and mess all over the floor.  My neighbor lady went to the store to get more Maxi pads to clean it all up, but when she was gone, I decided it was best to just burn her house down.  But I didn\'t know that my pet squirrel (and best friend and lover) was in her house and it got burned up in the fire, so now I have to train a new squirrel to be my lover.Shame on you Maxi Pads!"
232,233,20110216,B0029NYQEC,5,"February 16, 2011",A2ZJ835WQ7JNGT,best pantyliner,"This pantyliner is perfect for me because it is very absorbent, but is the size of a regular pantyliner, instead of a pad.  I use them daily between cycles.  These pantyliners have actually prevented yeast infections for me, which I was getting every several months with other pantyliners that were not as absorbent.  They always adhere very well for me.  All the stores where I shop stopped carrying the regular size, so I am so happy that Amazon carries these, and for a much better price than I was paying!  Always Dri-liners also makes a Long pantyliner, which is wider and longer.  I use those too when I need more coverage, like for light days of my cycle."
410,414,20070423,B005P0SMW8,5,"April 23, 2007",AKFGW8HE7STY2,Great for Digestion,"I have heartburn troubles from time to time and was looking for an alternative to medication.  I have tried other aloe products and was looking for one I could get for a better price.  I love this stuff.  The taste is almost like water, not strong at all and keeps me free of indigestion, heartburn, etc.  I am not real good a drinking a little everyday, so when I have problems, I will drink half a cup or put it in my water to drink all day.  This product is great and will help to clean your system too."
153,153,20100731,B0029NYQ38,5,"July 31, 2010",AO2AFR6B5GOSW,BEST EVER!,"These are super absorbent, and I\'ve never had a problem with leaking like I have with other types."
