,id_review,date,product_id,user_rating,date_other_format,user_id,title,review    
2378,2456,20100526,B004B8AZH0,5,"May 26, 2010",A3JLPPCH32JRHZ,Perfect for DH,"I got this at a good price and definitely worth it, an excellent shaver for DH he will not use any other!! thanks!    "
518,538,20080713,B000BUUVTE,3,"July 13, 2008",A2WP6HUL15WKNC,"Over-priced, Over-bladed","The Gillette Fusion is Gillette\'s latest (as of this writing) offering to the world of manual shaving. Featuring five blades and a stunning new razor design, the Fusion is a truly attractive razor. But is it \'the best a man can get\'? Not for this man.Aesthetics: 4 stars. The Fusion design is truly excellent and far superior to other razors. The handle has been greatly extended compared to the Mach 3 handle, and a noticeable amount of weight and girth has been added as well. This is a razor that will feel comfortable in almost any man\'s hand. The blade cartridge itself keeps this razor from getting 5 stars in my opinion. Fusion cartridges are about the same size as cartridges for the average razor for women. This will require many men to slightly alter the way they shave their faces; however, the one-blade trimmer (on top of the razor) helps a good bit.The shave: a disappointing 3 stars. The Fusion gave me an incredibly close shave. I mean incredibly close. My face hasn\'t been that smooth since I was a child. I thought the trimmer worked well for its purpose. But -- and this is a big \'but\' -- the shave was honestly too close for comfort. After every shave with the Fusion, my face felt extremely sensitive for the rest of the day. I cannot help but believe that the 5-blade design caused the discomfort that I felt after using the Fusion. Perhaps other men will not have this issue. For those with sensitive skin (like me), your best bet might be to avoid the Fusion.Blade durability: 4 stars. This was where the Fusion blades really shined. With most razors, I typically have to change blades once a week. With the Fusion, I used the same blade for 2 weeks with no trouble at all. The blade still felt fresh after a week, and drag was minimal into the second week.Overall: The razor was decent. Certainly an impressive shave, but perhaps too close for some due to the unneccesary number of blades. The biggest problem with the Fusion is that the blades are insanely expensive. In my opinion, the cost of Fusion blades diminishes everything else that might be good about it.UPDATE: Decided to give the Fusion another shot by buying an entirely new system with a new blade. Still an incredibly disappointing razor with lots of irritation. It\'s just one or two blades too many. I cannot say the shave is any closer than a Schick Quattro or even a Gillette Sensor Excel on a good day. Would be nice to see Gillette take this razor design, with the longer handle and closer blade spacing, and port it over to a 3-blade.    "
707,730,20060222,B000BUW8WM,4,"February 22, 2006",A3M5SH898GPMWW,Gillette Fusion Power has pluses and minus over Mach 3 Power,"I have a thick beard. I shave daily. I have been using Gillette sensor-series products almost exclusively since the Gillette sensor debuted in 1990.I graduated from Sensor, To Sensor II, to Mach 3, to Mach 3 power.I normally shave wet, with no shaving cream, and with down strokes, although I use some upstrokes. I have tested the Mach 5 both wet and dry, with no cuts or major problems.I have used the Gillette Fusion for 1 week, and here are my findings.Pluses:1) An overall great shave.2) The Fusion shaves better dry than any previous Sensor model. (Although I rarely have a reason to shave dry).3) More blades. More microfins!4) The plastic handle, while bulky, is very nice. The plastic is gentle to the touch, aa nice departure from the rigid, cold metal of the M3.5) Comes with a coupon for $2 off additional cartridges.Minuses:1) The confort strip wear out WAY too quickly.  My Mach3 blades last 3 weeks, My Fusion blade needs replacement after 1 week. Hopefully, the replacement blades will be better than the original ones (if so, I\'ll edit this review).2) Since there are more microfins with a larger area, and sincen the microfins become more imporant to the overall shave, the microfins trap more hairs than ever. Even washing the blade doesn\'t get rid of all of the microhairs trapped in the microfins.3) The 5 blades make upstrokes more difficult and don\'t offer the precision of the M3 and previous models for the tough spots (e.g. under the nose). On the soft ares of the face (e.g., the cheecks), the larger footprint makes it harder to press close and cut hairs close to the skin. However, this problem is somewhat offset by the additional blades and microfins.4) As always, the blades are more expensive than previous version. At this rate of inflation, Gillette blades will cost $50 each by the year 2030. =)Overall, it is a great product. I am undecided if I will keep using Fusion or switch back to the M3 as my primary. I might use both together (as I previously did with the M3 and Sensor Excel).    "
2075,2151,20110811,B003987CL0,1,"August 11, 2011",A1NZ3CJXYWMMD3,"As a Gillette Fusion user, I am thoroughly disappointed","I tried this razor and it is terrible.  I was thoroughly disappointed.  I need to shave everyday because I am in the Army and I have always used Gillette Fusion.  The ProGlide often doesn\'t get a close enough shave and is easier to miss spots.  I\'ve been using the razors for 2 weeks and I have cut myself three times.  I never had the same problems with the older version of Gillette\'s Fusion.  I threw these blades away because they are so bad, what a waste of money.    "
2268,2346,20110208,B003EMVVMM,5,"February 8, 2011",A2SAOJZKCF57EF,Smooth Shave,I actually had purchase the actual razor from amazon over the summer and purchase these cartridge. Just like the first one I got it provides a smooth shave. The last cartridge i used last well over 4 months. Other blades that I used gave burns and cuts but this one for some reason is smooth!Enjoy!    
1271,1306,20101123,B001F51QI4,5,"November 23, 2010",A1OAAUECLEBUSF,Only ones my husband likes!,"I could not find these anywhere after we moved, so glad I can still get them here. I tried purchasing two other razors for my husband and he only likes this one!    "
1372,1418,20090331,B001F51QJ8,5,"March 31, 2009",A39ISGPKMF9X0R,A Good Product,"Like many of the other reviewers I live in a warm climate the Desert Southwest, so a really effective anti-perpirant-deoderant is a must.This one from Gillete works better than most of the other ones I have tried, Two pluses are first, It does not have an overly powerful scent.Second your underarms do not feel \'funny\' when you apply in and it canbe cleaned off in the shower, unlike many other products on the market.There is no \'waxy\' feel to it. It goes on clear and is not flaky.The scent is neutral enough that either a man or woman can use it. Is itworth the price? As well as it works? YES.    "
2654,2735,20110421,B004QE83VE,5,"April 21, 2011",A1DGRO0NEY1UJA,"Close Shave, Saves Time","Before trying this razor, I was doubtful it would give me as close of a shave as my usual razor.  I was also concerned about getting razor burn.  Both of my fears were alleviated once I used the Gilette Venus Proskin Moisturerich Razor.  It literally cut my shaving time in half!  I\'m a big fan and a convert.  I would recommend trying it out.    "
2364,2442,20100801,B004B8AZH0,5,"August 1, 2010",A9951IBUBITRI,"Great item, great price",My husband loves the Fusion. Glad I found them here at such a great price and free shipping    
179,187,20041006,B000065AB0,5,"October 6, 2004",A27ZOCD5B63Y0P,Close and comfortable.  You can\'t do better.,"What kind of a moron writes a review about a razor?  Well, it\'s either someone who\'s starving for attention or someone who\'s been cut too many times by the cheap, generic meat cleavers they sell in all the drug stores.Seriously though, the Mach 3 is an inexpensive and high quality razor that will not cut and burn (even someone as uncoordinated as myself) and provides far smoother and closer results than almost any of the electrical products out there.  I don\'t even feel the \'aftershave burn\' after using this product.  You\'ll have a very difficult time finding something better.    "
