,id_review,date,product_id,user_rating,date_other_format,user_id,title,review
1576,1614,20081213,B001CX4JSS,1,"December 13, 2008",A28PS4EHKFNDE4,Proctor & Gamble Sucks,I purchased this toothbrush thru Amazon.com. On the Amazon website was a link to a rebate stating send in proof of purchase and you will receive a $15 rebate check.  Well I printed out the coupon and sent it in with my Amazon.com receipt when it arrived. It stated the price I paid etc and was the receipt. There was no other receipt.Yesterday I received something in the mail from P&G that it did not meet their proof-of-purchase status and I needed some UPC code. Where was this? Wasn\'t it on the receipt??? I am being given 7 days to reply and they include a website if you have questions. Well the website is obsolete. What to do???This is the worst customer service I have ever received and I will never buy another P&G product as long as I live.Let them go down with Big Auto. SHAME ON YOU P&G. This is why America is losing its edge.
1135,1162,20070512,B000AUIFCA,5,"May 12, 2007",A11KXJJD45Q01S,oral B,"Replacements came promptly, in original packaging. Will order fromthis company when need more."
2160,2210,20110302,B002HWS9GG,4,"March 2, 2011",A2JCNIN1RNRCQI,Three Years of Professional Care Toothbrushes - Pretty Good,"My husband and I have owned three of these Oral-B \'Professional Care\' toothbrushes within three years: a Triumph 9400 (3 years), a Triumph 9900 (2 years), and a SmartSeries 5000.  Despite the name change from \'Triumph\' to \'SmartSeries,\' there are no differences except for the charger-toothbrush-holding-stand, which has changed from a tall rounded design (which was a pain to assemble and disassemble) to a elongated flattened rectangle.  In fact, if you look at the handle of your SmartSeries 5000, it says, \'Triumph.\'  All of these toothbrushes are the same design, except the 9400 doesn\'t interface with the SmartSeries clock.I have noticed that the price point has stayed similar over the years, and now Oral-B is consistently including the \'SmartGuide,\' which is a little clock-like contraption that gives signals (e.g., time, time of brush, too much pressure, etc.).  This toothbrush is convenient and does a pretty good job of keeping your teeth much cleaner and whiter than manual brushing.  My dentist doesn\'t scold me as much during cleanings any more.One caveat: My husband\'s Triumph 9900 (with SmartSeries) had a bearing go out within six months of normal use.  The SmartSeries clock would flash the \'red triangle\' (brushing with too much pressure) caution and the toothbrush would buzz uncomfortably throughout the brushing process.  Although the toothbrush originally cost us around $149, we couldn\'t find the original sales receipt in order to claim the warranty.  Finally, after complaining about it for a year-and-a-half, we accepted the hit to the pocketbook and replaced his malfunctioning Triumph 9900 with the SmartSeries 5000... which was surprisingly the same toothbrush despite the name change.In short:- The price at MSRP is the equivalent of 30 regular toothbrushes, but it does a very good job when it works- This toothbrush is a good buy from Amazon due to significant price decrease (major retailers are still selling it at MSRP)- The SmartSeries 5000 (with SmartSeries) is the same as the Triumph 9900 (with SmartSeries)- Keep your receipt for potential warranty issues! Better to be safe than sorry, and $160 poorer due to replacement cost (like us)- 10 hours to fully charge, about 10 days of charge at 2x brushings/day- Standalone charger is convenient to detach from brush-holder for extra counter room or to take on trips"
2580,2639,20120211,B003UKKH6O,5,"February 11, 2012",A3RXN8OY5VX0TE,Fantastic,"This toothbrush is fantastic for the price. Being rechargeable is definitely a big plus in my book. The only issue I could say is that the handle itself feels rather bulky for what it is, but that is not really a big drawback."
1803,1848,20100617,B002BTETG4,5,"June 17, 2010",A3UC3YT2E65LZO,Good product at a much better price than local stores,"I usually purchase 3-packs of these brush heads at the local \'big box\' stores (you know the ones -- one of them has a blue color scheme, the other one has a red color scheme).  The 6-packs available here are about the same price as the 3-packs at the big box stores.  Purchasing them here is a no-brainer!"
1929,1974,20100809,B002HWS9G6,5,"August 9, 2010",A3SQQYS79AV13M,This Skeptic is Impressed!,"I was skeptical on two counts:1.  That I needed something electric or battery operated to clean my teeth instead of the plain old toothbrush.2.  That something this inexpensive would work well enough to justify paying the extra over a plain old toothbrush.My husband gave his a go first and said, \'I don\'t want to sway your decision, you go use yours.\'I took that to mean he wasn\'t very impressed and proceeded to brush my teeth.I was VERY impressed (and so was he).*My teeth felt incredibly cleaner than they do with a plain old toothbrush.*The brush does the scrubbing for you and if you are applying too much pressure you can hear it in the motor.*It comes with a brush cover so you can take it with you traveling easily.*No recharger to clutter the counter (also making it easier to take on trips)This cross action toothbrush is fantastic and a fantastic price!"
1138,1165,20070321,B000AUIFCA,5,"March 21, 2007",A1PDJ6Y1YEGNNG,oral b triumph refills,theproduct came promptly and at a good pricethe cleaning action of the brush is great
2335,2389,20101019,B002HWS9GG,5,"October 19, 2010",ARVE75V751MJ8,I\'ll never go back to Sonicare!,"I debated a long time over this toothbrush or the latest Sonicare, but I am so happy I chose the Oral-B! My old Sonicare Elite was a good introduction to electric toothbrushes, but after 2 years I was tired of not being able to keep it clean. The Oral-B is very easy to clean and eliminates all possibilities for \'gunk build-up\'!!Plus, my mouth has never felt so clean! It is like having a dentist brush and floss your teeth, but not painful.A+ on this toothbrush!"
1236,1264,20120425,B000LSUW6S,5,"April 25, 2012",A25ZO2MF0WG9Z1,toothbrushes,I got these toothbrush heads for my Dad. He could not find them in any store near his area and really liked the brush. I am a dental hygienist and could plainly see that he was in need of new brush heads. So far he is very happy with the purchase and I was glad I was able to find them for him.Thank you very much.
508,519,20120503,B0002KHU3I,5,"May 3, 2012",A1VV9N0V67M6CU,"Right heads, Amazing price",Bought these for my Oral B toothbrush at an amazing price from amazon [with their $5 coupon]. They work extremely well. Was surprised to find that they are made in Germany [not China]!
