,id_review,date,product_id,user_rating,date_other_format,user_id,title,review 
160,162,20111210,B003F6KT3Y,5,"December 10, 2011",A27CPSQTIBHF4Y,If you use Hairspray look no further!,"If you need Hairspray to style your hair or set your style, this is the perfect hairspray for you. It does not flake and it does not dull your hair. "
408,418,20110808,B004ISB3BK,5,"August 8, 2011",A3DLU7VO50MKCM,tamed the wild,love the pantene products for my kind of wild curly hair. Does not take out the curl but tames it down and leaves hair strong and healthy. 
341,349,20111120,B004ISB3AG,1,"November 20, 2011",A11SXJ2H7IC8J7,Hair snaps off and breaks!,"I bought this with the conditioner (which by the way I love) and my hair dried out to the point that while I was gently brushing it it all snapped off and broke. Hate the shampoo, love the conditioner. "
372,381,20100620,B004ISB3AG,5,"June 20, 2010",AUEW0SKOB1XYF,This stuff works!,"I love this shampoo!  This stuff smells good, and makes my hair feel thicker and fuller and you only have to use a small amount.  Good value for the price - I highly recommend it! "
219,221,20100617,B003JA3KDW,4,"June 17, 2010",A1RFZGWX46N8H7,Decent product,"Unfortunately I don\'t have Curly hair, but am always on the search for a decent conditioner, something my color treated hair has trouble finding.  I didn\'t realize this was the Curly formula when I ordered it.  My last gem was Sunsilk Volume, which has been reformulated (probably not a word) and my hair now feels like straw.  I gave this a shot and was pleasantly surprised.  It left my hair feeling like it was actually conditioned; silky.  While I have seen this on the shelves for 5.99, it\'s frequently on sale for 3.99, and I\'ll probably be purchasing again. "
15,15,20101126,B001E5E2EA,5,"November 26, 2010",A98U5LMTLHEDN,Excellent!,"I have thick, frizzy hair that is difficult to have any control over even in when it isn\'t humid out.  This product used to be called something like Frizz control smoothing balm and was packaged differently.  I am so glad Pantene did not take it off the market, but simply changed the name and packaging.  This balm is one of the few products I have found that actually works and I am one of those people that has tried almost every anti-frizz product out there.  It even works better than most expensive products.  It also blends in well, so you aren\'t left with sticky or wet feeling hair. "
411,421,20111209,B004ISCZEO,1,"December 9, 2011",A2HC0YLHJ3NNH2,"Was a 3-pack, only received one",The deal was for a 3-pack for $6.37 after an amazon coupon but I only got one bottle and no packing slip in the box. Amazon bait-and-switched us on this one. I\'ve had the same issue on multi-packs one razors and batteries... I have no idea why I keep doing this to myself :P 
84,86,20110307,B003EGSAJ0,3,"March 7, 2011",ACWM54VB50371,Confused by the Label,"I was excited to find Pantene Pro-V Curly Hair conditioner on subscribe and save.  I was disappointed when it arrived and it was Curls to Straight.  I hadn\'t realized I wanted Dry to Moisturized Conditioner, they are both part of the Curly Hair series.I was so frustrated with the packaging and label which I thought was misleading, I called Pantene.  I told them about my confusion (and that I obviously didn\'t read the entire name) and they actually sent me coupons to buy the correct product.I have curly hair & I want to have curly hair but I was out of conditioner so I used the Curls to Straight.  I thought my hair was untangled and smooth just like I like it.  I did not find that it straightened my curls.  Maybe they expect you to use it with other products and try to straighten your hair (like blow dry it straight)?  I used it for a couple of weeks before the coupons arrived and I replaced it with the other product.  By the end of the 2 weeks my hair did seem more relaxed but I\'m not sure if part of that is the winter dry weather (my hair is much curlier in the humid weather).I appreciate the customer service of the company especially since it was my mistake. "
344,352,20110912,B004ISB3AG,3,"September 12, 2011",A18C7ORHB8M6AO,Pantene Volume Shampoo,"I have been using this for a few weeks. If your looking for a daily shampoo and not too concerned about volume, this is meant for you. "
5,5,20100703,B0014D08PO,5,"July 3, 2010",A30WY1WXTZ8TJJ,Please read if you are looking for the old formula green and white tube Pantene Restoratives Time Renewal,REVISED! Read if you want to find the new product that is the same ingredients as the old product formula!Pantene is trying to say this Shine Enhance conditioner is like the Old Restorative Time Renewal. IT IS NOT. If you are looking for the old formula then you need to buy the Pantene Pro-V Restore Beautiful Lengths FRIZZ CONTROL CONDITIONER. I had the tube from the old formula and found the ingredients in that and the ingredients in the Frizz Control Conditioner ARE THE SAME. I tried to email and call Pantene but they obviously don\'t know their own products and continue to give inaccurate information.AS FOR THE OLD FORMULA SHAMPOO:If you want the Old formula Restorative Time Renewal Shampoo then you will want to buy the NEW BEAUTIFUL LENGTHS SHINE ENHANCE SHAMPOO.I am trying to help because many of my family members and I used the old formula and were worried when they changed things. I have compared the ingredients and no matter what Pantene customer service tells you....these products I listed are the actual replacements. Try them you will see.OLD REVEIW:One of the best conditioners you will ever use for damaged hair. I am a professional stylist and have not found any line that works like Pantene Restoratives Time Renewal. Pantene has stopped making many of their products. What a shame. They said consumers were confused by all the choices. Call and complain. Their products were superior and did what they claimed. IF IT AIN\'T BROKE DON\'T FIX IT! 
105,107,20110320,B003EGYDI2,5,"March 20, 2011",A2XP8UBA90YRWF,The Best Spray Gel Available Today!!,"I have had unruly curly hair for years.  I have tried sooooo many products, many expensive and many non-expensive.  I have very fine hair and most products make my hair feel yucky.  This is the first spray gel product that I have tried that has not made my hair feel heavy and hard.  It still feels soft and manageable.  Other products will clock out after a few hours or not work at all.  This gel is also lightweight enough that I can use it everyday and not have a lot of product buildup!  Thank you Pantene!Love!! "
235,239,20100606,B003JA3KDW,4,"June 6, 2010",A3S96B2GBP04N2,Too much perfume but satisfied with it\'s performance,"Pantene Pro-v Curly Hair Series Conditioner works as advertised. It\'s a nice thick conditioner which controls the frizz and helps to detangle your hair in the shower.My hair type is thick and coarse and naturally wavy and tends to frizz. I usually use a leave in glossing cream after I wash my hair to detangle my hair without breakage and to keep my hair from becoming a frizzy mess.I live in Texas and right now the summer is coming on and it\'s hot and humid so it\'s the perfect recipe for my hair to frizz.The first time I used this conditioner was after swimming and there was no way I could run a comb through my hair without help.  After shampooing with my normal shampoo I was able to detangle my hair using the Pantene Pro-v Curly Hair Series Conditioner in the shower with no breakage. The conditioner is thick so it coats my hair well while in the shower but it doesn\'t feel as if the conditioner rinses completely out of the hair.However after stepping out of the shower and toweling off the conditioning results weren\'t there and I still felt as I needed something to help comb my wet hair.I believe the reason for this is, is because of one of the ingredients used in this conditioner called \'Bis-Aminopropyl Dimethicone\'.  Bis-Aminopropyl Dimethicone is a silicone which is used to coat the hair and is not water soluable so it creates the \'conditioning\' feel you feel when in the shower while the water is pouring over your head but once you step out of the shower it doesn\'t feel the same because it leaves a film behind which doesn\'t allow the hair to slide easily between each other.On the other hand the \'film\' Bis-Aminopropyl Dimethicone leaves behind is suppose to help control frizz which so far it has done well for me.I have used other Pantene daily conditioners before in the past and unless it was a treatment conditioner such as Pantene\'s \'Deep Fortifying\' conditioners then Pantene\'s daily conditioners are usually rather thin and never worked very well .If you have used Pantene\'s treatment conditioners then you have a general idea of the consistency and results of the Pro-v Curly Hair Series Conditioner.The one thing I really did not like is the smell of this conditioner.  The perfume is much stronger with this product than with Pantene\'s other products. It\'s not over whelming but noticeable stronger than another of Pantene\'s product I currently own.I am sensitive to scents so what I feel is too much isn\'t always the case for someone else.  If you are someone who doesn\'t like a lot of perfume you may want to give this product a whiff the next time you are at a grocery store before you purchase it here from Amazon.I do not know if I will continue using this product. This is my third wash using this conditioner and so far I am happy with the results but I\'m sensitive to products which contain sulfates and with anything that leaves a film behind a strong cleaner is definitely needed to help remove build up between uses. If I notice that my non-sulfate shampoos are sufficient in cleaning between conditioning with this  than I\'ll probably stick to using this otherwise I\'ll probably return to my normal routine.In conclusion I give it a 4 stars because I believe that Pantene\'s Pro-v Curly Hair Series Conditioner works well for those battling frizzy hair and after my hair dried it was extremely soft but I don\'t care for the perfume because I feel it\'s too strong.I like to give a Pro and Con breakdown for each of my reviews so here is the list for this one.Pros1. Controls Frizz2. Thick conditioner which helps it stay put where neededCon1.  I don\'t care for the heavy perfume smell "
